Condition,orders_sep,rev_sep,gp_sep,aov_sep,margin_sep,orders_apr,rev_apr,gp_apr,aov_apr,margin_apr,orders_apr_30d,rev_apr_30d,orders_delta_pct,rev_delta_pct,aov_delta_pct
Like New,350,223577,57707.364450654844,638.7914285714286,25.810957500393535,232,145244,40511.00516991948,626.051724137931,27.891689274544547,290.0,181555.0,-17.14285714285714,-18.795314365967876,-1.9943449244439915
Grade A,456,215813,52044.597782347475,473.27412280701753,24.115599052118025,211,105582,31114.830115830115,500.38862559241704,29.469824511592996,263.75,131977.5,-42.16008771929825,-38.84636236000611,5.729132753885158
Grade B,101,36919,9470.894518935616,365.53465346534654,25.65317185984349,35,15100,4713.0,431.42857142857144,31.211920529801322,43.75,18875.0,-56.68316831683169,-48.87456323302365,18.02672259347684
Brand New,78,35367,10152.574190528898,453.4230769230769,28.70634826400005,12,12040,4202.0,1003.3333333333334,34.90033222591362,15.0,15050.0,-80.76923076923077,-57.44620691605169,121.27972403653126
Open Box,37,31984,10227.93287256548,864.4324324324324,31.978279366450344,23,21083,3818.456426746764,916.6521739130435,18.111542127528168,28.75,26353.75,-22.297297297297302,-17.603332916458225,6.040928072732021
Unknown,397,16597,8968.03274559194,41.806045340050375,54.03405883950075,66,2812,1684.0,42.60606060606061,59.88620199146515,82.5,3515.0,-79.2191435768262,-78.82147376031813,1.9136353594388256
