"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"2736","Tech21 Evo Check Case For Samsung Galaxy Note 20 5G","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/tech21-evo-check-case-for-samsung-galaxy-note-20-5g"
"2736","Tech21 Evo Check Case For Samsung Galaxy Note 20 5G","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/tech21-evo-check-case-for-samsung-galaxy-note-20-5g"
"2737","Apple Watch 1st Gen 38mm Stainless Steel [Grade B]","Apple","refurbished","out of stock","89.00","AUD","Watches","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/smartwatch/apple-watch-1st-gen-38mm-stainless-steel-grade-b"
"2737","Apple Watch 1st Gen 38mm Stainless Steel [Grade B]","Apple","refurbished","out of stock","89.00","AUD","Watches","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/smartwatch/apple-watch-1st-gen-38mm-stainless-steel-grade-b"
"2739","Tech21 Evo Check Case For Samsung Galaxy Note 20 Ultra 5G","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/tech21-evo-check-case-for-samsung-galaxy-note-20-ultra-5g"
"2739","Tech21 Evo Check Case For Samsung Galaxy Note 20 Ultra 5G","Tech21","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/tech21-evo-check-case-for-samsung-galaxy-note-20-ultra-5g"
"2741","Google Pixel 4 (128GB) [Grade A]","Google","refurbished","out of stock","249.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/google-pixel-4/google-pixel-4-like-grade-a"
"2741","Google Pixel 4 (128GB) [Grade A]","Google","refurbished","out of stock","249.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/google-pixel-4/google-pixel-4-like-grade-a"
"2742","Samsung Galaxy Watch Active 2 44mm Aluminum Bluetooth [Brand New]","Samsung","new","out of stock","299.00","AUD","Watches","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/samsung-watch-active-2/samsung-galaxy-watch-active-2-44mm-aluminum-bluetooth-brand-new"
"2742","Samsung Galaxy Watch Active 2 44mm Aluminum Bluetooth [Brand New]","Samsung","new","out of stock","299.00","AUD","Watches","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/samsung-watch-active-2/samsung-galaxy-watch-active-2-44mm-aluminum-bluetooth-brand-new"
"2743","Samsung Galaxy Watch Active 2 40mm Aluminum Bluetooth [Brand New]","Samsung","new","out of stock","299.00","AUD","Watches","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/samsung-watch-active-2/samsung-galaxy-watch-active-2-40mm-aluminum-bluetooth-brand-new"
"2743","Samsung Galaxy Watch Active 2 40mm Aluminum Bluetooth [Brand New]","Samsung","new","out of stock","299.00","AUD","Watches","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/samsung-watch-active-2/samsung-galaxy-watch-active-2-40mm-aluminum-bluetooth-brand-new"
"2745","Nite Ize Clip Case Sideways Universal Rugged Holster XXL","Nite Ize","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/nite-ize-clip-case-sideways-universal-rugged-holster-xxl"
"2745","Nite Ize Clip Case Sideways Universal Rugged Holster XXL","Nite Ize","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/nite-ize-clip-case-sideways-universal-rugged-holster-xxl"
"2746","Case-Mate Twinkle Case for Samsung Galaxy Note 20 5G","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-twinkle-case-for-samung-galaxy-note-20-5g"
"2746","Case-Mate Twinkle Case for Samsung Galaxy Note 20 5G","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-twinkle-case-for-samung-galaxy-note-20-5g"
"2747","Speck Presidio Exotech Case for Motorola Moto E (2020) 7th Gen","Speck","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/motorola-covers/speck-presidio-exotech-case-for-motorola-moto-e-(2020)-7th-gen"
"2747","Speck Presidio Exotech Case for Motorola Moto E (2020) 7th Gen","Speck","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/motorola-covers/speck-presidio-exotech-case-for-motorola-moto-e-(2020)-7th-gen"
"2748","Case-Mate Twinkle Case for Samsung Galaxy Note 20 Ultra 5G","Case-mate","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-twinkle-case-for-samung-galaxy-note-20-ultra-5g"
"2748","Case-Mate Twinkle Case for Samsung Galaxy Note 20 Ultra 5G","Case-mate","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-twinkle-case-for-samung-galaxy-note-20-ultra-5g"
"2749","Case-Mate Protection Pack Clear Case For LG K40","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-protection-pack-clear-case-for-lg-k40"
"2749","Case-Mate Protection Pack Clear Case For LG K40","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-protection-pack-clear-case-for-lg-k40"
"2750","Speck Presidio Lite Case For Moto E6","Speck","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/speck-presidio-lite-case-for-moto-e6"
"2750","Speck Presidio Lite Case For Moto E6","Speck","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/speck-presidio-lite-case-for-moto-e6"
"2753","Case-Mate Protection Pack Case for LG Stylo 6","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-protection-pack-case-for-lg-stylo-6"
"2753","Case-Mate Protection Pack Case for LG Stylo 6","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-protection-pack-case-for-lg-stylo-6"
"2754","Case-Mate Protection Pack Clear Case for LG K8X","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/case-mate-protection-pack-clear-case-for-lg-k8x"
"2754","Case-Mate Protection Pack Clear Case for LG K8X","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/case-mate-protection-pack-clear-case-for-lg-k8x"
"2755","Speck Presidio ExoTech For Samsung Galaxy A21","Speck","new","in stock","19.00","AUD","Accessories","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/speck-presidio-exotech-for-samsung-galaxy-a21"
"2755","Speck Presidio ExoTech For Samsung Galaxy A21","Speck","new","in stock","19.00","AUD","Accessories","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/speck-presidio-exotech-for-samsung-galaxy-a21"
"2758","Samsung Galaxy A5 (2016) [Grade A]","Samsung","refurbished","out of stock","139.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/samsung-a-series/samsung-galaxy-a5-2016-grade-a"
"2758","Samsung Galaxy A5 (2016) [Grade A]","Samsung","refurbished","out of stock","139.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/samsung-a-series/samsung-galaxy-a5-2016-grade-a"
"2759","Apple iPad 7th Gen (128GB) WiFi [Grade A]","Apple","refurbished","in stock","249.00","AUD","Tablet","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/buy-ipad/apple-ipad-7th-gen-wifi-128gb-grade-a"
"2759","Apple iPad 7th Gen (128GB) WiFi [Grade A]","Apple","refurbished","in stock","249.00","AUD","Tablet","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/buy-ipad/apple-ipad-7th-gen-wifi-128gb-grade-a"
"2760","Apple iPad 7th Gen (128GB) WiFi [Grade B]","Apple","refurbished","out of stock","229.00","AUD","Tablet","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/buy-ipad/apple-ipad-7th-gen-wifi-128gb-grade-b"
"2760","Apple iPad 7th Gen (128GB) WiFi [Grade B]","Apple","refurbished","out of stock","229.00","AUD","Tablet","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/buy-ipad/apple-ipad-7th-gen-wifi-128gb-grade-b"
"2761","Oppo A91 (128GB) [Like New]","OPPO","refurbished","out of stock","249.00","AUD","Mobile","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/oppo-refurbished/oppo-a91-128gb-like-new"
"2761","Oppo A91 (128GB) [Like New]","OPPO","refurbished","out of stock","249.00","AUD","Mobile","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/oppo-refurbished/oppo-a91-128gb-like-new"
"2762","Apple iPad Mini 5 (64GB) WiFi Cellular [Grade A]","Apple","refurbished","in stock","299.00","AUD","Tablet","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/buy-ipad-mini/apple-ipad-mini-5-64gb-wifi-cellular-grade-a"
"2762","Apple iPad Mini 5 (64GB) WiFi Cellular [Grade A]","Apple","refurbished","in stock","499.00","AUD","Tablet","price_101_600","margin_high","AU","online","https://www.phonebot.com.au/buy-ipad-mini/apple-ipad-mini-5-64gb-wifi-cellular-grade-a"
"2763","Apple AirPods Pro with Wireless Charging Case [Grade A]","Apple","refurbished","out of stock","189.00","AUD","accessories","price_101_600","margin_high","AU","local","https://www.phonebot.com.au/apple-airpods/apple-airpods-pro-grade-a"
