"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"google pixel 9a","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.99,1,3,0,0
"phonebot melbourne","SS - All Products >$1000","All Products > $1000","branded","AUD",2.99,3,397,0,0
"mobile world au","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.98,2,2,0,0
"iphone 15 pro max 256gb","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.97,1,49,0,0
"iphone 17 pro max black friday deals","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.97,1,2,0,0
"razr ultra 60","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.96,2,12,0,0
"refurbished google pixel","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.96,1,4,0,0
"iphone 15 refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.95,1,10,0,0
"iphone 15pro refurbished","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.95,1,1,0,0
"iphone 17 pro max 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.95,10,524,0,0
"motorola razr 60 ultra","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.94,3,173,0,0
"phone sale australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.94,1,1,0,0
"galaxy s24","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.9369,1,6,0,0
"phonebot sydney","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.93,2,14,0,0
"iphone 16 pro deals","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",2.9,1,4,0,0
"s24 ultra 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.88,3,34,0,0
"iphone 16 pro max 512gb","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.8681,1,3,0,0
"where to sell my phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",2.8646,5,16,0,0
