"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"iphone 17 brand new","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.68,3,21,0,0
"samsung galaxy s26 ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.68,1,183,0,0
"mobileciti","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.679,1,15,0,0
"iphone pro max 1tb","SS - All Products >$1000","All Products > $1000","branded","AUD",1.67,1,18,0,0
"oz mobile phones","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.67,1,3,0,0
"refurbished 15 pro max","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.66,1,1,0,0
"iphone 15 pro max 256","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.65,1,3,0,0
"a256e dsn","Phonebot (B) Standard Shopping","Samsung","non-branded","AUD",1.64,1,1,0.5,364
"iphone 15 pro brand new price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.64,1,4,0,1.35
"iphone 16 pro best price australia","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.64,1,5,0,0
"iphone 16 pro on sale","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.64,1,1,0,0
"iphone 16pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.64,1,87,0,0
"iphone 17 pro max ozbargain","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.64,1,2,0,0
