Channel,Sessions,Purchases,GP
Organic Search,20987,62,7070.17
Direct,11361,50,8277.77
Cross-network,10506,161,18005.04
Organic Social,7037,17,1739.7
Paid Search,5889,143,21026.86
Unassigned,2942,291,35141.66
Paid Shopping,2871,28,7546.45
Referral,1660,22,3019.33
Paid Social,1083,0,0
Organic Shopping,589,12,1529.88
Paid Other,54,0,0
Organic Video,9,0,0
Email,7,0,0
