__ym,campaigns,sent,delivered,opens,clicks,unsubs,open_rate%,click_rate%,unsub_rate%
2025-10,2,195,192,65,2,9,33.85,1.04,4.69
2025-11,17,80981,78914,10971,765,937,13.9,0.97,1.19
2025-12,3,58304,57736,7232,454,313,12.53,0.79,0.54
2026-01,2,13553,13399,1619,86,99,12.08,0.64,0.74
2026-02,1,16647,16435,1946,125,46,11.84,0.76,0.28
2026-03,5,17650,17466,4290,310,226,24.56,1.77,1.29
2026-04,5,27557,27277,7335,480,546,26.89,1.76,2.0
