Week,Branded,Clicks,Impressions,CTR,Position
2026|02,(unknown),1699,665733,0.0026,12.6168
2026|02,branded,268,1732,0.1547,1.746
2026|02,non-branded,1694,30595,0.0554,9.1622
2026|03,(unknown),1830,767712,0.0024,13.952
2026|03,branded,358,1933,0.1852,1.9079
2026|03,non-branded,1869,37170,0.0503,7.7968
2026|04,(unknown),1867,756406,0.0025,13.7294
2026|04,branded,271,1612,0.1681,2.0434
2026|04,non-branded,1641,23650,0.0694,8.6857
2026|05,(unknown),2170,760913,0.0029,12.9564
2026|05,branded,303,1805,0.1679,1.9263
2026|05,non-branded,1828,24004,0.0762,7.8124
2026|06,(unknown),1978,756718,0.0026,13.0279
2026|06,branded,275,1779,0.1546,1.9252
2026|06,non-branded,1703,23186,0.0734,7.0927
2026|07,(unknown),2056,819887,0.0025,13.5918
2026|07,branded,302,1887,0.16,1.9603
2026|07,non-branded,1746,24644,0.0708,7.904
2026|08,(unknown),1981,749269,0.0026,11.9604
2026|08,branded,298,1801,0.1655,2.0217
2026|08,non-branded,1736,27091,0.0641,7.2933
2026|09,(unknown),2283,889738,0.0026,12.2108
2026|09,branded,279,1866,0.1495,2.1463
2026|09,non-branded,2040,64398,0.0317,6.9136
2026|10,(unknown),2473,1040576,0.0024,12.5701
2026|10,branded,251,1834,0.1369,2.048
2026|10,non-branded,2613,60123,0.0435,8.094
2026|11,(unknown),2512,1069884,0.0023,12.4315
2026|11,branded,295,1827,0.1615,1.9507
2026|11,non-branded,2635,57841,0.0456,7.8787
2026|12,(unknown),2284,1019189,0.0022,11.5283
2026|12,branded,231,1739,0.1328,1.9293
2026|12,non-branded,2394,62960,0.038,9.0867
2026|13,(unknown),2208,1512771,0.0015,10.2857
2026|13,branded,227,1633,0.139,2.0184
2026|13,non-branded,2288,133914,0.0171,5.0501
2026|14,(unknown),2354,1452923,0.0016,10.9622
2026|14,branded,237,1582,0.1498,1.6346
2026|14,non-branded,2444,199687,0.0122,3.9159
2026|15,(unknown),2542,1472949,0.0017,9.4599
2026|15,branded,287,1643,0.1747,1.8764
2026|15,non-branded,2618,181812,0.0144,4.1743
2026|16,(unknown),2512,1503726,0.0017,13.428
2026|16,branded,276,1804,0.153,2.0067
2026|16,non-branded,2798,120551,0.0232,5.8454
2026|17,(unknown),1542,730949,0.0021,14.1411
2026|17,branded,149,994,0.1499,1.7646
2026|17,non-branded,1679,103081,0.0163,7.686
