Date,Campaign name,Subject,Sender name,Recipients,Delivered,Opens_unique,Opens_total,Clicks_unique,Clicks_total,Click_to_open_rate,Soft_bounces,Hard_bounces,Unsubscribes
2026-04-04,Easter Sale,You're going to like these prices,Phonebot,25687,25450,6758,4374,438,685,0.1393,199,60,518
2026-04-15,TrustPilot Campaign,How's Your Recent Order from Phonebot?,Phonebot,373,362,135,114,14,16,0.1972,2,9,4
2026-04-22,TrustPilot Campaign (8th April - 15th april),How's Your Recent Order from Phonebot?,Phonebot,165,160,68,53,8,20,0.2162,2,3,1
2026-04-25,Apple Watch Retargeting,Your iPhone needs an Apple Watch,Phonebot,1328,1301,372,175,19,38,0.1348,4,23,23
2026-04-28,UTM Testing,Test UTMs Adnan,Phonebot,4,4,2,2,1,4,0.5,0,0,0
